ID,SongTitle,FirstLine,Year,Songwriter,Tags,tag_id,Copyright,Lyrics,edit_flg,fav_flg
92,Lamb of God,"Your only Son, no sin to hide",1985,Twila Paris,"Calvary, Jesus","5, 49",© 1985 Mountain Spring Music (Admin. by EMI Christian Music Publishing),"<p>1<br/>Your only Son, no sin to hide<br/>But You have sent Him from Your side<br/>To walk upon this guilty sod<br/>And to become the Lamb of God</p><p class=""verse"">2 Your gift of love, they crucified<br/>They laughed and scorned Him as He died<br/>The humble King, they named a fraud<br/>And sacrificed the Lamb of God</p><p class=""verse"">3 Oh, Lamb of God, sweet Lamb of God<br/>I love the holy Lamb of God<br/>Oh, wash me in His precious blood<br/>My Jesus Christ, the Lamb of God</p><p class=""verse"">4 I was so lost, I should have died<br/>But You have brought me to Your side<br/>To be led by Your staff and rod<br/>And to be called a lamb of God</p><p class=""verse"">5 Oh, Lamb of God, sweet Lamb of God<br/>I love the holy Lamb of God<br/>Oh, wash me in His precious blood<br/>'Til I am just a lamb of God</p><p class=""verse"">Oh, wash me in Your precious blood<br/>My Jesus Christ, the Lamb of God</p>",,FALSE
93,Leave Babylon And Come,"Leave Babylon, leave Babylon",,Unknown,"Surrender, Short Chorus, Caribbean","41, 39, 48",Copyright Information Unknown,"<p>Leave Babylon, leave Babylon<br/>Leave Babylon and come<br/>Don't mind your friends, they laugh you to scorn<br/>When Christ was here, they done him the very same<br/>Look in your life, see how you live<br/>Leave Babylon and come</p>",,FALSE
94,Let The Church Say Amen,Let the church say amen,2012,Andraé Crouch,"Unity, Short Chorus","45, 39","© 2012 New Spring (Admin. by Brentwood-Benson Music Publishing, Inc.), Vaughn Street Music (Admin. by Brentwood-Benson Music Publishing, Inc.)","<p>Let the church say ""Amen"".<br/>Let the church say ""Amen"".<br/>God has spoken. Let the church say ""Amen"".</p>",,FALSE
95,Let There Be Love (Shared among us),Let there be love shared among us,1979,Dave Bilbrough,"Unity, Love, Short Chorus","45, 19, 39",© 1979 Thankyou Music (Admin. by EMI Christian Music Publishing),"<p>Let there be love shared among us<br/>Let there be love in our eyes<br/>May now Your love sweep this nation.<br/>Cause us oh Lord to arise<br/>Give us a fresh understanding<br/>Of brotherly love that is real,<br/>Let there be love shared among us,<br/>Let there be love</p>",,FALSE
96,Let There Be Peace on Earth,Let there be peace on earth,1955,"Jill Jackson, Sy Miller","Peace, Unity","26, 45",© 1955. Renewed 1983 Jan - Lee Music,"<p>Let There Be Peace on Earth and let it begin with me.<br/>Let There Be Peace on Earth, the peace that was meant to be!<br/>With God as our Father, brothers all are we.<br/>Let me walk with my brother in perfect harmony.</p><p>Let peace begin with me. Let this be the moment now.<br/>With ev'ry breath I take, let this be my solemn vow;<br/>To take each moment and live each moment in peace eternally!<br/>Let there be peace on earth and let it begin with me!</p>",,FALSE
97,Lord I Lift Your Name on High,"Lord, I lift Your name on high",1989,Rick Founds,"Majesty of God, Praise & Worship","22, 30","© 1989 Maranatha Praise, Inc. (Admin. by Maranatha! Music (Capitol CMG))","<p>Lord, I lift Your name on high<br/>Lord, I love to sing Your praises<br/>I'm so glad You're in my life<br/>I'm so glad You came to save us</p><p>You came from heaven to earth<br/>To show the way<br/>From the earth to the cross<br/>My debt to pay<br/>From the cross to the grave<br/>From the grave to the sky<br/>Lord, I lift Your name on high</p>",,FALSE
98,"Love Lifted Me (lean forward, lean backward)","Lean forward, lean backward",1912,"Howard E. Smith, James Rowe, Joseph M. Martin","Love, Salvation, Short Chorus","19, 36, 39",© Words: Public Domain,"<p>Lean forward, lean backward (do the actions)<br/>To the left, to the right<br/>Stand up, sit down<br/>To the left, to the right</p><p>(Continue doing the actions from verse 1 while singing verse 2)</p><p>Love lifted me! <br/>Love lifted me!<br/>When nothing else could help,<br/>Love lifted me!</p><p>(Adapted from original song)</p>",,FALSE
99,Love Wonderful Love,Love wonderful love,1931,Seth Sykes,"Love, Love of God, Short Chorus","19, 21, 39","© 1931 New Spring (Admin. by Brentwood-Benson Music Publishing, Inc.)","<p>Love wonderful love,<br/>The love of God to me.<br/>Love wonderful love,<br/>So rich, so great, so free.<br/>Wide, wide as the ocean,<br/>Deep, deep as the sea .<br/>High, high as the heavens above,<br/>His love to me.</p>",,FALSE
100,Magic Penny (Love is Something),Love is something if you give it away,1955,Malvina Reynolds,"Children's Songs, Love, Short Chorus","6, 19, 39",Copyright Information Unknown,"<p>Love is something if you give it away,<br/>Give it away, give it away.<br/>Love is something if you give it away,<br/>It comes right back to you.</p><p>It's just like a magic penny,<br/>Put it in your pocket and you won't have any.<br/>Lend it, spend it, and give it away<br/>It comes right back to you.</p>",,FALSE
101,Majesty,"Majesty, How I worship",1981,Jack Hayford,"Majesty of God, Short Chorus, Meditation","22, 39, 23","© 1981 New Spring (Admin. by Brentwood-Benson Music Publishing, Inc.)",<p>Majesty<br/>How I worship<br/>Majesty<br/>How I bless you<br/>For you alone are worthy of my praise</p><p>Majesty<br/>How I worship<br/>Majesty<br/>How I bless you<br/>For you alone are worthy of my praise</p><p>You are worthy of my praise<br/>You are worthy of my praise (4x)</p>,,FALSE
102,Make a Joyful Noise (Psalm 100),Make a joyful noise unto the Lord,1965,Charlotte M. Gaus,"Praise & Worship, Joy, Scripture","30, 17, 37","© 1965 Lillenas Publishing Company (Admin. by Music Services, Inc.)","<p>Make a joyful noise unto the Lord,<br/>All ye, all ye lands.<br/>Serve the Lord, the Lord with gladness:<br/>Come before His presence with singing.</p><p>Chorus:<br/>Hallelujah, glory hallelujah!<br/>Hallelujah, glory hallelujah!<br/>Hallelujah, glory hallelujah!<br/>Hallelujah, glory hallelujah!</p><p>Know ye that the Lord He is God:<br/>It is He that hath made us,<br/>And not we ourselves:<br/>We are His people, and the sheep of His pasture.<br/>Enter into His gates with thanksgiving,<br/>And into His courts with praise:<br/>Be thankful unto Him,<br/>And bless, bless His name.<br/>For the Lord, the Lord is good;<br/>His mercy is everlasting;<br/>And His truth endureth,<br/>Endureth to all generations.</p><p>Chorus</p>",,FALSE
103,My God Is Awesome,My God is awesome,2000,Greg Leavers,Majesty of God,22,"© 2000 Leavers, Greg (Admin. by Greg P. Leavers)","<p>My God is awesome<br/>He can move mountains<br/>Keep me in the valley<br/>Hide me from the rain</p><p>My God is awesome<br/>Heals me when I'm broken<br/>Gives strength where I've been weakened<br/>Forever He will reign</p><p>My God is awesome<br/>He can move mountains<br/>Keep me in the valley<br/>Hide me from the rain</p><p>My God is awesome<br/>Heals me when I'm broken<br/>Gives strength where I've been weakened<br/>Forever He will reign<br/>My God is awesome, awesome, awesome, awesome [x2]</p><p>My God is awesome<br/>Savior of the whole world<br/>Giver of salvation<br/>By His stripes I am healed</p><p>My God is awesome<br/>Today I am forgiven<br/>His grace is why I'm living<br/>Praise His holy name</p><p>My God is awesome, awesome, awesome, awesome [x2]</p><p>He's mighty [x4]<br/>Awesome, awesome</p><p>He's holy [x4]<br/>Awesome, awesome</p><p>He's great [x4]<br/>Awesome, awesome</p><p>Deliverer [x4]<br/>Awesome, awesome</p><p>Provider [x4]<br/>Awesome, awesome</p><p>Protector [x4]<br/>Awesome, awesome</p><p>My God is awesome<br/>He can move mountains<br/>Keep me in the valley<br/>Hide me from the rain</p><p>My God is awesome<br/>Heals me when I'm broken<br/>Gives strength where I've been weakened<br/>Praise His holy name</p>",,FALSE
104,My God Is So Big,"My God is so big, so strong and so mighty",1959,Ruth Harms Calkin,"Children's Songs, Refuge, Power of God, God's Creation, Short Chorus","6, 34, 29, 11, 39","© 1959, 2002 Nuggets of Truth","<p>My God is so big, so strong and so mighty<br/>There's nothing my God cannot do<br/>My God is so big, so strong and so mighty<br/>There's nothing my God cannot do<br/>The rivers are His, the mountains are His<br/>The skies are His handiwork too<br/>My God is so big, so strong and so mighty<br/>There's nothing my God cannot do</p>",,FALSE
105,"My Lord is Sweet (My, my, my, my)","My my my my, my my my my, my my, my Lord is sweet",,Unknown,"Joy, Short Chorus, Caribbean","17, 39, 48",Copyright Information Unknown,"<p>My my my my, my my my my my, my my, my Lord is sweet<br/>My my my my, my my my my my, my my, my Lord is sweet</p><p>My Lord is sweet (x4)<br/>My Lord is swee-ee-ee-et<br/>My Lord is sweet (x4)<br/>My Lord is swee-ee-ee-et</p>",,FALSE
106,My Young Companion Fare Thee Well,My young companion fare thee well,,Unknown,"Born Again, Caribbean, Short Chorus","4, 48, 39",Copyright Information Unknown,"<p>My young companion fare thee well<br/>I will not go with you to Hell<br/>I'm on my way to Canaan's land<br/>I will not go, I will not go with you</p>",,FALSE
107,"New Name, Precious Name",We shall have a new name in that land,,Unknown,"Praise & Worship, Heaven, Short Chorus, Caribbean","30, 15, 39, 48",Copyright Information Unknown,"<p>We shall have a new name in that land<br/>In that land, that sunny sunny land<br/>We shall have a new name in that land<br/>In that sunny land<br/>New name, precious name in that sunny land<br/>New name, precious name in that sunny land.</p>",,FALSE
108,O Praise Ye the Lord (Psalm 150),O praise ye the Lord,,Noel Dexter,"Praise & Worship, Scripture","30, 37",Copyright Information Unknown,"<p>Chorus:<br/>O praise ye the Lord (x2)<br/>Praise God in His sanctuary<br/>O praise ye the Lord</p><p>Repeat chorus</p><p>In the firmament of His power (praise Him!)<br/>For His mighty acts, let us (praise Him!)<br/>For His excellent greatness (praise Him!)<br/>O praise ye the Lord</p><p>Chorus (x2)</p><p>With the sound of the trumpet (praise Him!)<br/>With the psaltery and harp, oh (praise Him!)<br/>With the dance and the timbrel (praise Him!)<br/>O praise ye the Lord</p><p>Chorus (x2)</p><p>With stringed instruments, let us (praise Him!)<br/>And with organs, oh let us (praise Him!)<br/>With the high and loud cymbals (praise Him!)<br/>O praise ye the Lord</p><p>Chorus (x2)</p><p>Let everything that hath breath<br/>Let everything that hath breath<br/>Praise the Lord!</p>",,FALSE
109,"Oh Friend, Do You Love Jesus?",Oh friend do you love Jesus?,1991,"Frederick Whitfield, Randy Farrar","Love for God, Jesus","20, 49",© 1991 Doulos Publishing (Admin. by Maranatha! Music (Capitol CMG)),"<p>Oh friend do you love Jesus? <br/>Oh yes I love Jesus<br/>Are you sure you love Jesus? <br/>I'm sure I love Jesus<br/>And why do you love Jesus? <br/>Here's why I love Jesus<br/>Because He first loved me</p><p>That's the reason we all are to love Him</p><p>Chorus:<br/>Oh! How I love Jesus, oh, how I love Jesus<br/>Oh! How I love Jesus, because He first loved me</p>",,FALSE
110,Oh Happy Day,Oh happy day (oh happy day),,Philip Doddridge,"Joy, Salvation, Jesus","17, 36, 49",© Words: Public Domain,"<p>Oh happy day (oh happy day)<br/>Oh happy day (oh happy day)<br/>When Jesus washed (when Jesus washed)<br/>When Jesus washed (when Jesus washed)<br/>When Jesus washed (when Jesus washed)<br/>He washed my sins away (oh happy day)<br/>Oh happy day (oh happy day)</p><p>He taught me how to watch, fight and pray (fight and pray!)<br/>And live rejoicing every, everyday (everyday!)</p><p>Oh happy day (oh happy day)<br/>Oh happy day (oh happy day)</p>",,FALSE
111,Old Time Religion,Give me that old time religion,,Unknown,Faith,10,Copyright Information Unknown,"<p>Chorus:<br/>Give me that old time religion,<br/>Give me that old time religion,<br/>Give me that old time religion,<br/>It's good enough for me.</p><p>1<br/>It was good for Paul and Silas,<br/>It was good for Paul and Silas,<br/>It was good for Paul and Silas,<br/>It's good enough for me.</p><p>2<br/>It was good for the Hebrew children,<br/>It was good for the Hebrew children,<br/>It was good for the Hebrew children,<br/>It's good enough for me.</p><p>3<br/>It was good for our mothers,<br/>It was good for our mothers,<br/>It was good for our mothers,<br/>It's good enough for me.</p><p>4<br/>Makes me love ev'ry body,<br/>Makes me love ev'ry body,<br/>Makes me love ev'ry body,<br/>It's good enough for me.</p>",,FALSE
112,One Talent Have I,One talent have I to take to the sky,,Unknown,Service,38,Copyright Information Unknown,"<p>One talent have I to take to the sky<br/>While others are blessed with ten of the best<br/>Why should I complain, from duty refrain?<br/>No never, no never, not I.</p>",,FALSE
113,Order My Steps,Order my steps in Your word dear Lord,1991,Glenn Burleigh,"Guidance, Short Chorus","14, 39",© Burleigh Inspirations Music/BMI,"<p>Order my steps in Your word dear Lord,<br/>Lead me, guide me everyday,<br/>Send Your anointing, Father I pray;<br/>Order my steps in Your word,<br/>Please, order my steps in Your word.<br/>(Repeat)</p>",,FALSE
114,Our God is an Awesome God,Our God is an awesome God,1988,Rich Mullins,"Power of God, Majesty of God, Short Chorus","29, 22, 39","© 1988, BMG Music, Inc. (ASCAP). All rights for the U.S. administered by BMG Songs (ASCAP)","<p>Our God is an awesome God<br/>He reigns from Heaven above<br/>With wisdom, power and love<br/>Our God is an awesome God</p>",,FALSE
115,Pass It On (It only takes a spark),It only takes a spark to get a fire going,1969,Kurt Kaiser,"Evangelism, Love, Short Chorus","9, 19, 39","© 1969 Bud John Songs, Inc. (Admin. by EMI Christian Music Publishing)","<p>It only takes a spark to get a fire going,<br/>And soon all those around can warm up in its glowing;<br/>That's how it is with God's Love,<br/>Once you've experienced it,<br/>Your spread the love to everyone<br/>You want to pass it on.</p>",,FALSE
116,"Pathfinder Pledge, Law & Song","Pathfinder Pledge, Law & Song",,,AY Emblems,2,,"<p><strong>Pathfinder Pledge</strong><br/><br/>By the grace of God,<br/>I will be pure and kind and true.<br/>I will keep the Pathfinder Law.<br/>I will be a servant of God<br/>and a friend to man.</p><p><br/><strong>Pathfinder Law</strong></p><p>The Pathfinder Law is for me to:</p><ol><li>Keep the morning watch.</li><li>Do my honest part.</li><li>Care for my body.</li><li>Keep a level eye.</li><li>Be courteous and obedient.</li><li>Walk softly in the sanctuary.</li><li>Keep a song in my heart.</li><li>Go on God's errands.</li></ol><p><br/><strong>Pathfinder Song</strong></p><p>Oh, we are the Pathfinders strong,<br/>The servants of God are we;<br/>Faithful as we march along,<br/>In kindness, truth and purity.</p><p>A message to tell to the world,<br/>A truth that will set us free,<br/>King Jesus the Saviour's<br/>coming back for you and me.</p>",,FALSE
117,Peace Be Still (Master The Tempest Is Raging),"Master, the tempest is raging!",1941,"Fred Jacky, Horatio R. Palmer, Mary A. Baker","Peace, Power of God, God's Creation","26, 29, 11",© Words: Public Domain,"<p>1<br/>Master, the tempest is raging!<br/>The billows are tossing high!<br/>The sky is o'ershadowed with blackness.<br/>No shelter or help is nigh.<br/>Carest thou not that we perish?<br/>How canst thou lie asleep<br/>When each moment so madly is threat'ning<br/>A grave in the angry deep?</p><p>Chorus:<br/>The winds and the waves shall obey thy will:<br/>Peace, be still.<br/>Whether the wrath of the storm-tossed sea<br/>Or demons or men or whatever it be,<br/>No waters can swallow the ship where lies<br/>The Master of ocean and earth and skies.<br/>They all shall sweetly obey thy will:<br/>Peace, be still; peace, be still.<br/>They all shall sweetly obey thy will:<br/>Peace, peace, be still.</p><p>2<br/>Master, with anguish of spirit<br/>I bow in my grief today.<br/>The depths of my sad heart are troubled.<br/>Oh, waken and save, I pray!<br/>Torrents of sin and of anguish<br/>Sweep o'er my sinking soul,<br/>And I perish! I perish! dear Master.<br/>Oh, hasten and take control!</p><p>3<br/>Master, the terror is over.<br/>The elements sweetly rest.<br/>Earth's sun in the calm lake is mirrored,<br/>And heaven's within my breast.<br/>Linger, O blessed Redeemer!<br/>Leave me alone no more,<br/>And with joy I shall make the blest harbor<br/>And rest on the blissful shore.</p>",,FALSE
118,"Praise Him, Praise Him, All Ye Little Children","Praise him, praise him",,Unknown,"Children's Songs, Praise & Worship, Short Chorus","6, 30, 39",© Words: Public Domain,"<p>1<br/>Praise Him, praise Him<br/>All ye little children<br/>God is love, God is love<br/>Praise Him, praise Him<br/>All ye little children<br/>God is love, God is love</p><p>2<br/>Serve Him, serve Him</p><p>3<br/>Love Him, love Him</p><p>4<br/>Thank Him, thank Him</p>",,FALSE
119,Praise You (Let my life),Lord I come to You today,1993,Elizabeth Goodline,"Praise & Worship, Short Chorus, Meditation","30, 39, 23","© Copyright 1993 New Spring Publishing, Inc. (admin. by Brentwood-Benson Music Publishing Inc.)","<p>Lord I come to You today,<br/>With a simple prayer to pray.<br/>In everything I do,<br/>let my life O Lord praise You.</p><p>Praise You, praise You,praise You<br/>let my life, praise You<br/>praise You, praise You, praise You<br/>let my life, O lord praise You</p><p>Lord You formed me out of clay,<br/>and for Your glory I was made.<br/>Use this vessel as You choose.<br/>Let my life O Lord praise You</p><p>Praise You, praise You,praise You<br/>let my life, praise You<br/>praise You, praise You, praise You<br/>let my life, O lord praise You</p><p>Let my life O Lord praise You.</p>",,FALSE
120,Pray On,"Pray on, for you are who the Lord is looking for",1991,"Donna Douglas, Babbie Mason","Prayer, Trust, Victory","31, 44, 46","© 1991 Word Music, LLC (a div. of Word Music Group, Inc.)","<p>Pray on,<br/>For you are who the Lord is looking for<br/>Pray on,<br/>For this will tear those mighty strongholds down<br/>Stay on your knees,<br/>For this is where the battle is won<br/>Very soon you'll win the victory<br/>Pray on.<br/>&nbsp;</p>",,FALSE
121,Precious Lord (Take my hand),"Precious Lord, take my hand",1938,Thomas Andrew Dorsey,"Guidance, Surrender, Strength","14, 41, 40","© 1938, Unichappell Music, Inc. (renewed). Assigned to Warner-Tamerlane Publishing Corp.","<p>Precious Lord, take my hand,<br/>Lead me on, let me stand,<br/>I am tired, I am weak, I am worn;<br/>Through the storm, through the night,<br/>Lead me on to the light.</p><p>Chorus:<br/>Take my hand, precious Lord,<br/>Lead me home.</p>",,FALSE
122,Press Along Saints,"Press along saints, press along",,Unknown,"Perseverance, Christian Warfare, Victory, Short Chorus, Caribbean","28, 7, 46, 39, 48",Copyright Information Unknown,"<p>Press along saints<br/>Press along <br/>In God's own way<br/>Press along saints<br/>Press along<br/>In God's own way<br/>Persecution we must bear <br/>Trials and crosses in our way<br/>Oh, the hotter the battle<br/>The sweeter the victory!</p>",,FALSE
123,"Read Your Bible, Pray Every Day","Read your bible, pray every day",,Unknown,"Children's Songs, Scripture, Prayer, Short Chorus","6, 37, 31, 39",Copyright Information Unknown,"<p>Read your Bible, pray every day,<br/>Pray every day, pray every day.<br/>Read your Bible, pray every day,<br/>And you'll grow, grow, grow.<br/>You will grow, grow, grow.<br/>You will grow, grow, grow.<br/>Read your Bible, pray everyday,<br/>And you'll grow, grow, grow.</p><p>If you don't read your Bible, and forget to pray,<br/>And forget to pray, and forget to pray.<br/>If you don't read your Bible, and forget to pray,<br/>You will shrink, shrink, shrink.<br/>You will shrink, shrink, shrink.<br/>You will shrink, shrink, shrink.<br/>If you don't read your Bible,and&nbsp; forget to pray,<br/>You will shrink, shrink, shrink.</p>",,FALSE
124,Real Real Real,"Real, real, real, Christ so real to me",,Unknown,"Victory, Trust, Short Chorus, Caribbean","46, 44, 39, 48",Copyright Information Unknown,"<p>Real, real, real<br/>Christ so real to me (Hallelujah)<br/>I love him because He gives us the victory<br/>Many people doubt Him<br/>But I can’t do without Him<br/>That is why I love Him so<br/>He's so real to me </p><p>Ah real, ah real, ah real, ah...<br/>(Repeat verse above)</p>",,FALSE
125,Sanctuary,Lord prepare me to be a sanctuary,1982,"Randy Scruggs, John Thompson","Purity, Meditation, Work of God in Man","33, 23, 47","© Copyright 1982 Whole Armor Music and Full Armor Music (admin. by The Kruger Organisation, Inc.)","<p>Lord prepare me, <br/>to be a sanctuary, <br/>pure and holy, <br/>tried and true.<br/>With thanksgiving, <br/>I'll be a living, <br/>sanctuary, <br/>for you.</p>",,FALSE
126,"Shine, Jesus, Shine","Lord, the Light of Your Love is shining",1987,Graham Kendrick,"Majesty of God, Praise & Worship","22, 30","© 1987 Make Way Music (Admin. by Music Services, Inc.)","<p>Lord, the Light of Your Love is shining,<br/>In the midst of the darkness shining,<br/>Jesus, Light of the World, shine upon us,<br/>Set us free by the truth You now bring us,<br/>Shine on me. Shine on me.</p><p>Shine, Jesus shine,<br/>Fill this land with the Father's glory.<br/>Blaze, Spirit blaze,<br/>Set our hearts on fire.<br/>Flow, river flow,<br/>Flood the nations with grace and mercy.<br/>Send forth Your word,<br/>Lord and let there be light.</p><p>Lord I come to Your awesome presence,<br/>From the shadows into Your radiance.<br/>By the blood I may enter Your brightness,<br/>Search me, try me, consume all my darkness.<br/>Shine on me. Shine on me.</p><p>As we gaze on Your kindly brightness.<br/>So our faces display Your likeness.<br/>Ever changing from glory to glory,<br/>Mirrored here may our lives tell Your story.<br/>Shine on me. Shine on me.</p>",,FALSE
127,Shout To The Lord,"My Jesus, my saviour, Lord there is none like You",1993,Darlene Zschech,Praise & Worship,30,"© 1993 Wondrous Worship (Admin. by Music Services, Inc.)","<p>My Jesus, my saviour,<br/>Lord, there is none like You.<br/>All of my days, I want to praise,<br/>The wonders of Your mighty love.</p><p>My comfort, my shelter,<br/>Tower of refuge and strength.<br/>Let every breath, all that I am,<br/>Never cease to worship You.</p><p>Chorus:<br/>Shout to the Lord, all the earth let us sing.<br/>Power and majesty, praise to the King.<br/>Mountains bow down, and the seas will roar,<br/>At the sound of Your name.<br/>I sing for joy at the work of Your hands,<br/>Forever I'll love You,<br/>Forever I'll stand.<br/>Nothing compares to the promise I have<br/>In You.</p>",,FALSE
128,Side By Side,Side by side we stand,1972,Jeff Wood,"Unity, Christian Warfare","45, 7",Copyright 1972 by Sonlife Music Company,"<p>Side by side we stand<br/>Awaiting God’s command<br/>Worshiping the saving King<br/>Living by His grace<br/>And moving on in faith<br/>Jesus Himself will see us through</p><p>(Why don't you?) <br/>Meet me in heaven<br/>We’ll join hands together<br/>Meet me by the Savior’s side<br/>I’ll meet you in heaven<br/>We’ll sing songs together<br/>Brothers and sisters, I’ll be there</p><p>Soldiers all are we<br/>To go where Jesus leads<br/>We’ll fight the foe and we will overcome<br/>Heaven is our goal<br/>And save every soul<br/>Pray that we all will be there</p><p>(Why don't you?)<br/>Meet me in heaven<br/>We’ll join hands together<br/>Meet me by the Savior’s side<br/>I’ll meet you in heaven<br/>We’ll sing songs together<br/>Brothers and sisters, I’ll be there</p>",,FALSE
129,Sing Praises Unto God,"Sing praises unto God, sing praises",,Melva Lea,"Praise & Worship, Short Chorus","30, 39","© 1981 Lea, Melva","<p>Sing praises unto God, sing praises<br/>Sing praises unto God, sing praises<br/>Sing praises unto God, sing praises<br/>Hallelujah! </p><p>Chorus<br/>For God is our King <br/>Over all the earth <br/>Sing praises unto Him <br/>With understanding <br/>So clap your hands and shout “WHOA” <br/>All ye people <br/>For He is to be praised <br/>To be praised </p><p>When trouble’s in your life sing praises<br/>When trouble’s in your life sing praises<br/>When trouble’s in your life sing praises<br/>Hallelujah!</p>",,FALSE
130,Smile A While,Smile a while and give your face a rest,,Unknown,"Joy, Unity, Short Chorus","17, 45, 39",Copyright Information Unknown,<p>Smile a while and give your face a rest<br/>Raise your hand to the one you love the best<br/>Then shake hands with those nearby<br/>And greet them with a smile</p>,,FALSE
131,Soon and Very Soon,Soon and very soon,1976,Andrae Crouch,Heaven,15,"© Bud John Songs, Inc. (admin. EMI Christian Music Publishing)/Crouch Music, Inc.","<p>1<br/>Soon and very soon,<br/>We are going to see the King,<br/>Soon and very soon,<br/>We are going to see the King.<br/>Soon and very soon,<br/>We are going to see the King,<br/>Hallelujah, hallelujah,<br/>We are going to see the King.</p><p>2<br/>No more crying there,<br/>We are going to see the King,<br/>No more crying there,<br/>We are going to see the King.<br/>No more crying there,<br/>We are going to see the King,<br/>Hallelujah, Hallelujah,<br/>We are going to see the King.</p><p>3<br/>No more dying there,<br/>We are going to see the King,<br/>No more dying there,<br/>We are going to see the King.<br/>No more dying there,<br/>We are going to see the King,<br/>Hallelujah, Hallelujah,<br/>We are going to see the King.</p>",,FALSE
132,Spirit Of The Living God,Spirit of the living God,1935,Daniel Iverson,"Holy Spirit, Meditation, Short Chorus","16, 23, 39",© Words: 1935. Renewed 1963 Birdwing Music (Admin. by EMI Christian Music Publishing),"<p>Spirit of the living God,<br/>Fall afresh on me.<br/>Melt me, mold me, fill me, use me.<br/>Spirit of the living God,<br/>Fall afresh on me.</p>",,FALSE
133,Standing By A Purpose True (Dare to be a Daniel),Standing by a purpose true,,Philip Paul Bliss,"Strength, Service, Children's Songs","40, 38, 6",© Words: Public Domain,"<p>1<br/>Standing by a purpose true,<br/>heeding God's command,<br/>honor them, the faithful few!<br/>All hail to Daniel's band!</p><p>Chorus:<br/>Dare to be a Daniel!<br/>Dare to stand alone!<br/>Dare to have a purpose firm!<br/>Dare to make it known!</p><p>2<br/><br/>Many mighty men are lost,<br/>daring not to stand,<br/>who for God had been a host<br/>by joining Daniel's band.</p><p>Chorus</p><p>3<br/>Many giants, great and tall,<br/>stalking through the land,<br/>headlong to the earth would fall,<br/>if met by Daniel's band.</p><p>Chorus</p><p>4<br/><br/>Hold the gospel banner high;<br/>on to vict'ry grand;<br/>Satan and his host defy,<br/>and shout for Daniel's band.</p><p>Chorus</p>",,FALSE
134,Stop And Let Me Tell You,Stop and let me tell you,,Marvia Providence,"Evangelism, Work of God in Man, Short Chorus, Caribbean","9, 47, 39, 48",Copyright Information Unknown,"<p>Stop and let me tell you,<br/>What the Lord has done for me.<br/>Stop and let me tell you,<br/>What the Lord has done for me.<br/>He healed my body, saved my soul,<br/>Baptized me with the Holy Ghost.</p>",,FALSE
135,Sweet Jesus (What a wonder You are),"Sweet Jesus, sweet Jesus",1962,"Cyril McLellan, Paul Goodwin","Jesus, Majesty of God, Short Chorus, Praise & Worship, Caribbean","49, 22, 39, 30, 48","© 1962, 1963 Gospel Publishing House (Admin. by Lorenz Corporation)","<p>Sweet Jesus, Sweet Jesus,<br/>What a wonder You are!<br/>You are brighter than the morning star.<br/>You're fairer, yes, fairer than the lily that grows by the way.<br/>You are precious, more precious than gold.</p>",,FALSE
136,Thanks (I Give You Thanks),"Thanks, thanks, I give you thanks",1986,Carroll McGruder,"Thankfulness, Short Chorus","43, 39","© 1986 Rex Nelon Music Company (Admin. by ClearBox Rights, LLC)","<p>Thanks, thanks,<br/>I give You thanks, for all You've done<br/>I am so blessed, my soul is at rest<br/>Oh Lord I give You thanks</p>",,FALSE
137,The Family of God,I'm so glad I'm a part of the Family of God,1970,Gloria & William J. Gaither,Unity,45,"© 1970 William J. Gaither, Inc. (Admin. by EMI Christian Music Publishing)","<p>Chorus:<br/>I'm so glad I'm a part of the Family of God,<br/>I've been washed in the fountain, cleansed by His blood!<br/>Joint heirs with Jesus as we travel this sod,<br/>For I'm part of the family,<br/>The Family of God.</p><p>You will notice we say ""brother and sister"" 'round here,<br/>It's because we're a family and these are so near;<br/>When one has a heartache, we all share the tears,<br/>And rejoice in each victory in this family so dear.</p><p>Chorus</p><p>From the door of an orphanage to the house of the King,<br/>No longer an outcast, a new song I sing;<br/>From rags unto riches, from the weak to the strong,<br/>I'm not worthy to be here, but praise God I belong! </p><p>Chorus</p>",,FALSE
138,The Lord is Blessing me Right Now,"The Lord is blessing me right now, right now",,Unknown,God's Faithfulness,12,Copyright Information Unknown,"<p>The Lord is blessing me right now, right now<br/>The Lord is blessing me right now, right now<br/>He woke me up this morning, started me on my way<br/>The Lord is blessing me right now, right now</p>",,FALSE
139,The Name of The Lord (Is a strong tower),Blessed be the name of the Lord,1989,Clinton Utterbach,"Refuge, Power of God, Short Chorus","34, 29, 39","© 1989 Universal - Polygram International Publishing, Inc. (Admin. by Universal Music Corp.), Utterbach Music Publishing Company (Admin. by Universal Music Corp.)",<p>1<br/>Blessed be the name of the Lord<br/>Blessed be the name of the Lord<br/>Blessed be the name of the Lord Most High<br/>(Repeat Verse 1)</p><p>2<br/>Holy is the name of the Lord<br/>Holy is the name of the Lord<br/>Holy is the name of the Lord Most High<br/>(Repeat Verse 2)</p><p>Chorus<br/>The name of the Lord <br/>is a strong tower<br/>The righteous run into it <br/>and they are saved.</p><p>(Repeat Chorus)</p><p>3<br/>Glory to the name of the Lord<br/>Glory to the name of the Lord<br/>Glory to the name of the Lord Most High<br/>(Repeat Verse 3)<br/></p>,,FALSE
